stock_id,name,ticker,country,currency,sector,industry,sub_industry,beta,avg_daily_volume,side,posn_shares,cost_basis_local,market_price_local
20,equity_20,EZU,USA,USD,Information Technology,Software & Services,IT Consulting & Other Services,1.339698765,111838227,SHORT,-11706,76.06,76.25
21,equity_21,QJO,FIN,EUR,Industrials,Commercial Services & Supplies,Environmental Services,0.972810535,129,SHORT,-131,60.46,64.62
22,equity_22,LUQ,AUS,AUD,Financials,Real Estate,Specialized REITs,1.404882797,281880,SHORT,-4657,178.13,163.18
23,equity_23,NCI,JPN,JPY,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,0.801010966,71343,SHORT,-48441,17619.33,16444.1
24,equity_24,UDQ,USA,USD,Industrials,Commercial Services & Supplies,Office Services & Supplies,1.198092335,11958,LONG,2371,178.36,173.11
25,equity_25,QOI,HKG,CNY,Financials,Diversified Financials,Asset Management & Custody Banks,1.28311872,4824679,SHORT,-12963,405.45,392.85
26,equity_26,WAN,FRA,EUR,Financials,Real Estate,Real Estate Management & Development,1.332899664,19286,LONG,8427,125.05,137.62
27,equity_27,BPR,ITA,EUR,Consumer Staples,Food Beverage & Tobacco,Tobacco,2.689058323,504914,SHORT,-8836,128.33,121.79
28,equity_28,JPM,FRA,EUR,Industrials,Commercial Services & Supplies,Diversified Support Services,1.039357532,4268,SHORT,-2233,163.94,170.46
29,equity_29,QIG,HKG,CNY,Information Technology,Software & Services,Data Processing & Outsourced Services,1.491989812,63339994,LONG,7589,411.69,447.08
30,equity_30,PWT,GRC,EUR,Financials,Banks,Diversified Banks,2.355353747,195167,SHORT,-1856,67.52,63.33
31,equity_31,UXB,DEU,EUR,Industrials,Transportation,Highways & Railtracks,1.178575737,1506,LONG,1983,147.86,162.34
32,equity_32,ZAI,GRC,EUR,Materials,Materials,Paper Products,4.103741677,340,SHORT,-117,111.38,112.68
33,equity_33,ZPS,ESP,EUR,Consumer Discretionary,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines,0.922362624,8824517,SHORT,-2189,146.89,159.71
34,equity_34,LCN,BRA,BRL,Industrials,Transportation,Airport Services,2.103645641,101663836,LONG,13158,265.72,285.35
35,equity_35,FZD,CAN,CAD,Financials,Real Estate,Real Estate Services,0.712759027,51493246,LONG,6028,146.51,150.97
36,equity_36,ZBN,DEU,USD,Materials,Materials,Precious Metals & Minerals,1.226420039,815,SHORT,-1311,177.59,176
37,equity_37,GVM,NLD,EUR,Materials,Materials,Industrial Gases,0.592150878,4481220,SHORT,-495,181.77,178.55
38,equity_38,TMT,GBR,USD,Financials,Diversified Financials,Asset Management & Custody Banks,0.715557009,41328,LONG,4567,181.91,182.61
39,equity_39,VNE,AUS,AUD,Financials,Insurance,Property & Casualty Insurance,0.888765854,184051,SHORT,-73905,11.15,12.04
40,equity_40,GAW,NLD,EUR,Financials,Banks,Regional Banks,0.44476038,890112,LONG,27567,117.17,117.31
41,equity_41,HLW,ESP,EUR,Materials,Materials,Industrial Gases,0.919407463,557327,LONG,11669,47.62,47.95
42,equity_42,FCB,DEU,USD,Information Technology,Software & Services,Data Processing & Outsourced Services,0.589061627,5074,LONG,3712,83.89,79.14
43,equity_43,XFI,JPN,JPY,Industrials,Capital Goods,Trading Companies & Distributors,0.554938017,85097394,LONG,8977,13600.08,14144.66
44,equity_44,HJA,GBR,GBP,Industrials,Commercial Services & Supplies,Employment Services,1.399218631,53652,SHORT,-3170,63.69,67.17
45,equity_45,EFG,FIN,EUR,Health Care,Health Care Equipment & Services,Health Care Technology,0.66848284,261396,LONG,1093,59.68,60.45
46,equity_46,JIS,CHN,CNY,Industrials,Transportation,Marine,1.673962602,15363,SHORT,-1029,857.98,935.4
47,equity_47,SZH,USA,CAD,Consumer Discretionary,Media,Advertising,1.269798198,594877,SHORT,-22313,93.16,95.31
48,equity_48,WEN,GBR,USD,Materials,Materials,Forest Products,1.061132168,160915,LONG,989,115.06,120.68
49,equity_49,VIB,JPN,JPY,Financials,Insurance,Insurance Brokers,0.681577073,31558,SHORT,-7677,11054.84,10759.66
50,equity_50,PQO,DEU,EUR,Consumer Discretionary,Consumer Durables & Apparel,Textiles,2.749786454,1601541,SHORT,-3427,121.65,113.34
51,equity_51,XDD,CHE,CHF,Industrials,Capital Goods,Aerospace & Defense,1.966968219,59383,SHORT,-8582,52.03,54.11
52,equity_52,UDX,FIN,EUR,Consumer Discretionary,Retailing,Internet Retail,1.676264691,1083,SHORT,-3175,136.88,131.64
53,equity_53,WJA,FRA,EUR,Consumer Discretionary,Consumer Durables & Apparel,Housewares & Specialties,0.818516482,3762,LONG,10107,175.64,176.1
54,equity_54,UHU,BRA,BRL,Consumer Discretionary,Consumer Durables & Apparel,Household Appliances,0.978678811,477783,SHORT,-24600,251.04,238.12
55,equity_55,QIC,GBR,GBP,Consumer Discretionary,Media,Publishing,2.119420758,68538951,SHORT,-8114,36.01,39.11
56,equity_56,WLN,ESP,EUR,Energy,Energy,Integrated Oil & Gas,1.358196498,29651,LONG,66188,47.36,45.93
57,equity_57,YYJ,GRC,EUR,Health Care,Health Care Equipment & Services,Health Care Services,1.795441306,227552,SHORT,-770,85.11,85.95
58,equity_58,FVB,GRC,EUR,Consumer Staples,Food & Staples Retailing,Food Distributors,0.664760099,104346,SHORT,-6480,21.3,20.49
59,equity_59,BII,DEU,USD,Industrials,Commercial Services & Supplies,Diversified Commercial Services,2.136970768,58327,SHORT,-4811,20.42,21.63
60,equity_60,KIR,USA,CAD,Financials,Insurance,Insurance Brokers,0.776237033,130422,LONG,13381,96.84,102.55
61,equity_61,CAY,CHN,CNY,Utilities,Utilities,Independent Power Producers & Energy Traders,0.632303447,32658970,LONG,7373,96.67,91.32
62,equity_62,XFM,HKG,CNY,Consumer Discretionary,Hotels Restaurants & Leisure,Casinos & Gaming,1.360800429,70704,LONG,31640,328.05,353.51
63,equity_63,BSD,ESP,EUR,Industrials,Capital Goods,Electrical Components & Equipment,0.148754354,2334684,LONG,20397,108.34,107.72
64,equity_64,PCO,DEU,EUR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,0.659601002,6871,SHORT,-5886,85.39,81.82
65,equity_65,DCF,NLD,EUR,Industrials,Capital Goods,Construction & Farm Machinery & Heavy Trucks,1.99450283,65984,LONG,1299,152.27,161.35
66,equity_66,FHX,USA,CAD,Consumer Discretionary,Retailing,Home Improvement Retail,2.53069118,167655817,SHORT,-18231,52.9,51.85
67,equity_67,ICK,RUS,USD,Consumer Discretionary,Retailing,Distributors,1.25844755,8679,LONG,4604,144.22,143.08
68,equity_68,JBI,FRA,EUR,Consumer Staples,Household & Personal Products,Household Products,1.512480805,5751269,SHORT,-103983,44.3,46.39
69,equity_69,TDE,DEU,USD,Materials,Materials,Forest Products,1.910449984,94339,SHORT,-1743,126.35,128.37
70,equity_70,LFX,NLD,EUR,Energy,Energy,Oil & Gas Refining Marketing & Transportation,0.849696246,2933204,SHORT,-7915,125.1,119.71
71,equity_71,AIE,GBR,USD,Industrials,Transportation,Marine Ports & Services,0.540999106,1360322,LONG,3570,67.64,74.65
72,equity_72,FIX,HKG,HKD,Information Technology,Technology Hardware & Equipment,Semiconductor Equipment,0.966661453,2719,LONG,2066,709.43,778.01
73,equity_73,GMD,CAN,CAD,Health Care,Health Care Equipment & Services,Managed Health Care,0.935435087,23346106,LONG,4597,23.81,23.7
74,equity_74,PKD,USA,USD,Utilities,Utilities,Electric Utilities,0.828103831,4172127,SHORT,-492,11.02,11.23
75,equity_75,WSC,CHE,CHF,Financials,Insurance,Insurance Brokers,0.95525962,18467,LONG,54067,30.97,33.57
76,equity_76,JGN,BEL,EUR,Financials,Diversified Financials,Multi-Sector Holdings,0.54846841,1459362,LONG,10649,98.8,94.73
77,equity_77,BUH,CHN,CNY,Financials,Diversified Financials,Diversified Capital Markets,0.475122492,54863,LONG,1121,962.55,972.83
78,equity_78,ZRA,DEU,USD,Industrials,Commercial Services & Supplies,Data Processing Services,0.794049739,34917,LONG,2167,38.39,38.79
79,equity_79,KAI,BRA,BRL,Industrials,Commercial Services & Supplies,Data Processing Services,2.566823784,98578,SHORT,-1238,651.57,644.4
80,equity_80,KFT,FRA,EUR,Industrials,Capital Goods,Agricultural & Farm Machinery,0.530660307,188360087,SHORT,-20752,151.89,153.02
81,equity_81,WXA,AUS,AUD,Health Care,Pharmaceuticals & Biotechnology,Life Sciences Tools & Services,1.454470645,177646964,LONG,181197,64.82,63.73
82,equity_82,GQO,HKG,CNY,Consumer Discretionary,Hotels Restaurants & Leisure,Casinos & Gaming,0.641604342,3009,SHORT,-920,905.61,885.83
83,equity_83,OGH,JPN,JPY,Consumer Discretionary,Media,Cable & Satellite,0.731781542,329782,SHORT,-8351,14874.88,15157.2
84,equity_84,KHF,GBR,GBP,Materials,Materials,Silver,2.35790596,2687769,SHORT,-7605,23.7,23.25
85,equity_85,ZLD,HKG,HKD,Industrials,Capital Goods,Trading Companies & Distributors,2.447876398,376101,SHORT,-5800,1247.13,1233.98
86,equity_86,CLI,USA,CAD,Health Care,Health Care Equipment & Services,Managed Health Care,0.830582588,3102,LONG,608,232.39,255.99
87,equity_87,IAE,CHE,CHF,Materials,Materials,Paper Packaging,0.80907194,7284,LONG,18633,41.78,43.49
88,equity_88,KJD,ESP,EUR,Information Technology,Technology Hardware & Equipment,Electronic Manufacturing Services,0.726332765,20515484,SHORT,-2237,154.65,160.39
89,equity_89,YGL,NLD,EUR,Financials,Banks,Diversified Banks,0.633476227,179640,LONG,22264,103,102.77
90,equity_90,ZZA,ESP,EUR,Consumer Staples,Food & Staples Retailing,Drug Retail,0.713616326,988,SHORT,-2832,26.88,27.61
91,equity_91,SLS,USA,USD,Materials,Materials,Paper Packaging,0.805491722,1998,SHORT,-21,75.5,71.91
92,equity_92,TPC,USA,CAD,Consumer Discretionary,Hotels Restaurants & Leisure,Leisure Facilities,1.260857449,725849,SHORT,-620,255.04,247.31
93,equity_93,BPY,AUS,AUD,Utilities,Utilities,Independent Power Producers & Energy Traders,0.741606789,5235891,LONG,41539,46.01,43.75
94,equity_94,BYZ,CHN,CNY,Financials,Real Estate,Real Estate Operating Companies,0.631762682,37239,SHORT,-2596,1150.12,1191.05
95,equity_95,SRF,RUS,USD,Industrials,Commercial Services & Supplies,Commercial Printing,2.780867209,3633,LONG,947,144.37,160.44
96,equity_96,XPX,FIN,EUR,Materials,Materials,Diversified Metals & Mining,1.815151287,1518,LONG,3827,34.19,36.54
97,equity_97,XLY,RUS,USD,Information Technology,Software & Services,Internet Software & Services,0.60735382,828,SHORT,-2426,178.93,171.93
98,equity_98,RFH,AUS,AUD,Financials,Insurance,Reinsurance,0.853545662,57266,LONG,53144,186.08,183.64
99,equity_99,AFD,GBR,USD,Information Technology,Technology Hardware & Equipment,Electronic Equipment Manufacturers,0.669752164,29211,SHORT,-3891,54.71,51.99
100,equity_100,VPU,RUS,USD,Consumer Discretionary,Media,Broadcasting & Cable TV,1.643951829,11808538,SHORT,-7183,72.33,73.19
101,equity_101,GGT,DEU,USD,Information Technology,Software & Services,Systems Software,0.949005289,6374,LONG,399,134.38,147.84
102,equity_102,QRX,GBR,USD,Information Technology,Technology Hardware & Equipment,Electronic Equipment Manufacturers,1.859494743,336626,LONG,6560,41.53,44.82
103,equity_103,LSZ,BRA,BRL,Information Technology,Technology Hardware & Equipment,Computer Hardware,2.177168699,379,LONG,1015,397.12,386.36
104,equity_104,HJY,USA,CAD,Materials,Materials,Metal & Glass Containers,1.213932985,5887,LONG,2836,67.97,67.86
105,equity_105,ROM,CHE,CHF,Information Technology,Technology Hardware & Equipment,Electronic Equipment Manufacturers,1.374274463,21518,SHORT,-1968,92.68,99.57
106,equity_106,MIH,GRC,EUR,Consumer Discretionary,Hotels Restaurants & Leisure,Leisure Facilities,1.15589743,6600662,SHORT,-3956,112.1,117.43
107,equity_107,ANG,CHN,CNY,Financials,Real Estate,Real Estate Services,0.890221098,1275759,LONG,5446,960.41,1019.08
108,equity_108,DAN,HKG,HKD,Consumer Staples,Food & Staples Retailing,Food Distributors,1.326227379,199458,LONG,586,676.84,704.29
109,equity_109,XVM,AUS,AUD,Consumer Staples,Food & Staples Retailing,Hypermarkets and Super Centers,0.977402344,76613,LONG,15769,22.66,22.99
110,equity_110,YFI,NLD,EUR,Financials,Insurance,Property & Casualty Insurance,1.91909835,10953,LONG,15955,64.69,67.51
111,equity_111,KWY,CHN,CNY,Financials,Diversified Financials,Investment Banking & Brokerage,0.762835624,4099,LONG,11043,692.57,680.69
112,equity_112,YJQ,BRA,BRL,Financials,Real Estate,Real Estate Development,0.584966158,24328,LONG,17546,256.95,268.22
113,equity_113,PHD,NLD,EUR,Financials,Diversified Financials,Consumer Finance,0.777164626,251849,LONG,8472,88.89,92.77
114,equity_114,DYK,FIN,EUR,Financials,Diversified Financials,Other Diversified Financial Services,0.539349242,304778,LONG,31070,21.12,21.76
115,equity_115,BQX,CHE,CHF,Industrials,Commercial Services & Supplies,Research & Consulting Service,0.542271035,2360,LONG,2625,127.68,134.73
116,equity_116,ECM,GRC,EUR,Industrials,Commercial Services & Supplies,Employment Services,0.932816443,378353,LONG,5359,123.47,116.91
117,equity_117,WLX,USA,CAD,Financials,Banks,Diversified Banks,0.624781164,669503,SHORT,-6659,227.65,236.87
118,equity_118,JLP,GRC,EUR,Financials,Real Estate,Real Estate Management & Development,0.570284015,264862,LONG,83456,10.7,11.34
119,equity_119,EIQ,FRA,EUR,Materials,Materials,Diversified Metals & Mining,0.843389593,11470,SHORT,-378,98.62,94.27
120,equity_120,OLW,ESP,EUR,Financials,Insurance,Life & Health Insurance,0.711620679,2922549,LONG,6331,110.5,114
121,equity_121,OZM,GBR,GBP,Consumer Discretionary,Consumer Durables & Apparel,Consumer Electronics,1.050413776,48418,LONG,5764,95.55,90.39
122,equity_122,JKZ,CHE,CHF,Information Technology,Technology Hardware & Equipment,Semiconductors,1.972080665,3353369,LONG,557,163.79,170.34
123,equity_123,TJI,HKG,HKD,Materials,Materials,Precious Metals & Minerals,1.096724833,4367,LONG,12543,521.39,507.53
124,equity_124,DLM,DEU,USD,Financials,Real Estate,Real Estate Management & Development,3.337548384,9905,LONG,12485,166.22,156.38
125,equity_125,QFJ,CAN,CAD,Industrials,Commercial Services & Supplies,Commercial Printing,1.663477029,8433,LONG,11553,17.7,18.19
126,equity_126,EFQ,HKG,HKD,Consumer Staples,Food Beverage & Tobacco,Packaged Foods & Meats,1.374266564,11764,SHORT,-7987,1341,1377.16
127,equity_127,SDT,CHE,CHF,Industrials,Commercial Services & Supplies,Human Resource & Employment Services,0.870522812,34542,LONG,18973,16.78,18.13
128,equity_128,VPO,ESP,EUR,Consumer Staples,Food Beverage & Tobacco,Soft Drinks,0.612786722,605013,SHORT,-46618,113.11,107.5
129,equity_129,EIZ,DEU,USD,Utilities,Utilities,Water Utilities,0.39063252,10187732,LONG,7881,98.79,108.57
130,equity_130,BXO,ESP,EUR,Materials,Materials,Construction Materials,0.897082301,46889012,LONG,5147,123.1,133.08
131,equity_131,PIL,USA,USD,Materials,Materials,Steel,1.623021144,1025,LONG,2892,58.74,60.07
132,equity_132,JXF,RUS,USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,1.109644057,10766,SHORT,-14616,165.82,151.96
133,equity_133,DDC,HKG,HKD,Consumer Discretionary,Hotels Restaurants & Leisure,Restaurants,1.462312156,1579983,LONG,2475,1309.11,1265.11
134,equity_134,LYV,USA,CAD,Industrials,Capital Goods,Electrical Components & Equipment,0.734154271,117211687,SHORT,-20709,148.06,153.97
135,equity_135,KBG,FRA,EUR,Consumer Discretionary,Consumer Durables & Apparel,Household Appliances,1.366237461,229676,SHORT,-78547,14.32,14.34
136,equity_136,WMZ,HKG,HKD,Financials,Real Estate,Diversified REITs,0.656307704,2210093,SHORT,-8184,1086.36,1069.34
137,equity_137,TNP,BRA,BRL,Consumer Discretionary,Retailing,Automotive Retail,0.639873666,1924,SHORT,-5129,435.02,431.81
138,equity_138,XTZ,FIN,EUR,Consumer Discretionary,Consumer Durables & Apparel,Home Furnishings,0.602431424,93999711,SHORT,-9973,86.48,91.25
139,equity_139,XRJ,FRA,EUR,Materials,Materials,Commodity Chemicals,1.572455493,14547,LONG,4953,97.6,88.51
140,equity_140,HIO,FIN,EUR,Industrials,Capital Goods,Industrial Machinery,1.180192181,3984,LONG,3776,112.99,104.95
141,equity_141,ZBL,HKG,CNY,Industrials,Transportation,Airport Services,1.005883945,1004,LONG,917,1068.81,1071.55
142,equity_142,EWO,FRA,EUR,Consumer Staples,Food Beverage & Tobacco,Tobacco,2.134405336,54406,LONG,958,156.59,149.92
143,equity_143,AEL,DEU,USD,Materials,Materials,Forest Products,1.886727785,3135,LONG,2866,84.96,83.11
144,equity_144,TUF,CHE,CHF,Consumer Staples,Food & Staples Retailing,Food Retail,1.831903907,3255304,LONG,350,153.89,160.96
145,equity_145,ZEC,CHE,CHF,Information Technology,Technology Hardware & Equipment,Networking Equipment,0.730206521,12676,SHORT,-1619,134.9,128.41
146,equity_146,GLQ,RUS,USD,Industrials,Transportation,Marine,2.503280417,5439,SHORT,-1885,139.88,147.21
147,equity_147,YCL,CAN,CAD,Consumer Staples,Food Beverage & Tobacco,Meat Poultry & Fish,0.620626482,218330,SHORT,-733,131.86,133.39
148,equity_148,TWB,DEU,USD,Information Technology,Software & Services,IT Consulting & Other Services,1.581393625,24145,SHORT,-1493,165.08,164.64
149,equity_149,WRU,FIN,EUR,Information Technology,Technology Hardware & Equipment,Computer Hardware,3.420240712,18051,SHORT,-2258,108.61,113.27
150,equity_150,AKI,GBR,USD,Industrials,Capital Goods,Construction & Farm Machinery & Heavy Trucks,0.940769597,278147,SHORT,-30140,117.17,119.12
151,equity_151,ONT,GRC,EUR,Financials,Real Estate,Real Estate Investment Trusts,0.639896528,1096158,SHORT,-61154,12.42,12.16
152,equity_152,OBP,NLD,EUR,Consumer Discretionary,Retailing,Home Improvement Retail,0.711749483,66396,SHORT,-4116,188.37,177.17
153,equity_153,AHS,NLD,EUR,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,2.039413734,170592,SHORT,-9228,88.55,90.84
154,equity_154,DAL,BRA,BRL,Industrials,Commercial Services & Supplies,Diversified Commercial Services,2.03935177,31504,SHORT,-16487,133.98,137.51
155,equity_155,FWI,BEL,EUR,Industrials,Transportation,Airlines,0.625104717,25471,SHORT,-7957,166.61,157.67
156,equity_156,QOT,CAN,CAD,Health Care,Health Care Equipment & Services,Health Care Distributors,1.342457857,2108,LONG,1557,223.13,230.52
157,equity_157,CYK,CHE,CHF,Materials,Materials,Steel,0.356030096,27586321,SHORT,-2791,61.38,55
158,equity_158,ULO,ITA,EUR,Industrials,Capital Goods,Agricultural & Farm Machinery,2.128818195,616,SHORT,-977,38.87,38.08
159,equity_159,UZC,AUS,AUD,Consumer Discretionary,Consumer Durables & Apparel,Home Furnishings,1.059134783,28288458,LONG,10012,242.16,225.12
160,equity_160,ZUH,BEL,EUR,Consumer Discretionary,Hotels Restaurants & Leisure,Restaurants,1.58450921,2734,SHORT,-6933,104.95,97.76
161,equity_161,SIM,GBR,USD,Consumer Staples,Food Beverage & Tobacco,Tobacco,1.455271813,44383570,SHORT,-13352,174.87,198.56
162,equity_162,ZWI,ESP,EUR,Health Care,Health Care Equipment & Services,Health Care Distributors,0.802124355,6591168,SHORT,-787,138.66,143.17
163,equity_163,IMP,ITA,EUR,Industrials,Capital Goods,Electrical Components & Equipment,1.06899442,3834054,LONG,14912,127.38,131.88
164,equity_164,YYB,CAN,CAD,Utilities,Utilities,Renewable Electricity,0.642222043,49986,LONG,262,257.87,239.61
165,equity_165,FQY,GRC,EUR,Financials,Diversified Financials,Consumer Finance,1.527195819,224191,SHORT,-31378,31.08,30.18
166,equity_166,WOA,RUS,USD,Industrials,Capital Goods,Agricultural & Farm Machinery,1.304500164,379634,LONG,4128,65.62,65.39
167,equity_167,QRV,RUS,USD,Industrials,Commercial Services & Supplies,Research & Consulting Service,1.564649053,3522,LONG,1608,78.91,73.36
168,equity_168,MHQ,FIN,EUR,Consumer Discretionary,Hotels Restaurants & Leisure,Leisure Facilities,1.366999706,8383333,SHORT,-925,166.01,170.9
169,equity_169,QZH,HKG,HKD,Health Care,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.463344986,48364,SHORT,-18270,852.59,834.16
170,equity_170,DDT,CAN,CAD,Consumer Staples,Food Beverage & Tobacco,Soft Drinks,0.529859726,70,LONG,150,109.39,113.21
171,equity_171,SLQ,DEU,USD,Consumer Discretionary,Consumer Durables & Apparel,Home Furnishings,0.917680171,10827,LONG,16560,67.49,66.49
172,equity_172,KOZ,DEU,EUR,Consumer Discretionary,Media,Broadcasting & Cable TV,1.622643057,640,SHORT,-1686,172.88,178.11
173,equity_173,WHD,USA,USD,Information Technology,Technology Hardware & Equipment,Computer Hardware,0.816291585,10016,SHORT,-1924,27.98,31.01
174,equity_174,FTW,CAN,CAD,Consumer Staples,Food Beverage & Tobacco,Agricultural Products,1.037933682,19575542,SHORT,-2192,122.22,117.35
175,equity_175,FWU,HKG,HKD,Industrials,Capital Goods,Trading Companies & Distributors,1.671804064,19313,LONG,1195,1479.36,1519.46
176,equity_176,BEV,JPN,JPY,Financials,Real Estate,Real Estate Operating Companies,0.839966746,9431,LONG,2287,16335.1,16545.33
177,equity_177,PMV,HKG,HKD,Consumer Discretionary,Media,Movies & Entertainment,0.605784587,41498,LONG,1241,327.16,322.32
178,equity_178,IWS,DEU,EUR,Consumer Discretionary,Automobiles & Components,Auto Parts & Equipment,0.656850076,1652,LONG,1151,169.52,173.29
179,equity_179,UHZ,CAN,CAD,Industrials,Transportation,Marine,0.826790138,2026767,SHORT,-29890,47.82,46.41
180,equity_180,LTZ,CAN,CAD,Information Technology,Software & Services,Systems Software,0.942418792,24533,LONG,9899,76.59,77.78
181,equity_181,CAR,ESP,EUR,Health Care,Health Care Equipment & Services,Health Care Supplies,1.35763466,89,LONG,235,133.74,124.51
182,equity_182,MPN,GRC,EUR,Information Technology,Software & Services,IT Consulting & Other Services,1.963526008,32571,LONG,1286,83.81,78.49
183,equity_183,KEI,BRA,BRL,Financials,Real Estate,Retail REITs,0.719199841,10912,LONG,4696,360.95,381.65
184,equity_184,RTT,DEU,USD,Consumer Discretionary,Automobiles & Components,Tires & Rubber,0.581781451,23410,LONG,2996,144.57,154.83
185,equity_185,BON,FRA,EUR,Financials,Diversified Financials,Diversified Capital Markets,4.333601863,505120,LONG,113477,12.29,12.37
186,equity_186,VVS,CHE,CHF,Information Technology,Software & Services,Data Processing & Outsourced Services,1.084097125,4603331,SHORT,-953,24,25.43
187,equity_187,UXH,USA,CAD,Industrials,Transportation,Marine,1.124798789,15040657,LONG,20017,99.65,105.6
188,equity_188,IKK,ESP,EUR,Financials,Real Estate,Real Estate Investment Trusts,2.845609,931255,LONG,8057,87.93,93.09
189,equity_189,SGF,DEU,USD,Financials,Real Estate,Real Estate Services,0.854540261,6249,SHORT,-5252,154.91,162.49
190,equity_190,DJZ,BEL,EUR,Information Technology,Technology Hardware & Equipment,Office Electronics,0.377997072,69696,LONG,31971,14.19,13.55
191,equity_191,ROO,GBR,USD,Financials,Diversified Financials,Consumer Finance,1.729128513,756,LONG,529,114.56,121.7
192,equity_192,MFH,BEL,EUR,Energy,Energy,Oil & Gas Equipment & Services,1.244472501,34741,SHORT,-9850,184.91,174.39
193,equity_193,TTE,JPN,JPY,Consumer Staples,Food & Staples Retailing,Food Retail,1.437932892,1313,SHORT,-473,3456.86,3498.26
194,equity_194,VMT,JPN,JPY,Financials,Diversified Financials,Multi-Sector Holdings,0.654606465,308948,LONG,76686,2629.18,2489.95
195,equity_195,XOO,BEL,EUR,Industrials,Commercial Services & Supplies,Diversified Commercial Services,0.935372202,9450,LONG,777,67.58,69.07
196,equity_196,EZX,HKG,CNY,Information Technology,Software & Services,Internet Software & Services,0.708130886,2976,SHORT,-3311,1372.7,1260.22
197,equity_197,YKQ,BEL,EUR,Financials,Real Estate,Mortgage REITs,1.655019675,1704,SHORT,-4936,53.75,59.36
198,equity_198,KAS,HKG,HKD,Industrials,Capital Goods,Trading Companies & Distributors,1.096300073,20374091,SHORT,-17057,1415.54,1328.22
199,equity_199,HIM,CAN,CAD,Materials,Materials,Specialty Chemicals,0.317979555,847,LONG,1614,173.31,161.87
200,equity_200,HWV,ESP,EUR,Industrials,Capital Goods,Industrial Machinery,0.608122537,34892356,SHORT,-3645,79.05,77.02
201,equity_201,GWK,GRC,EUR,Energy,Energy,Oil & Gas Refining Marketing & Transportation,1.192309158,56706384,SHORT,-6080,151.96,139.45
202,equity_202,ZUA,DEU,EUR,Information Technology,Technology Hardware & Equipment,Computer Hardware,0.632371302,3108855,LONG,1433,78.49,85.6
203,equity_203,NQG,GBR,GBP,Consumer Discretionary,Automobiles & Components,Motorcycle Manufacturers,1.262549143,9282,SHORT,-21980,11.67,11.14
204,equity_204,TPI,ESP,EUR,Consumer Staples,Food Beverage & Tobacco,Brewers,1.919879849,867910,SHORT,-88002,28.01,26.09
